"","CVE","NOM_MUN","total","covid","covid_1"
"507","12038","Zihuatanejo de Azueta",6,NA,"Uno o más casos"
"508","12001","Acapulco de Juárez",326,NA,"Uno o más casos"
"509","13035","Metepec",0,NA,"0 casos"
"510","13007","Almoloya",0,NA,"0 casos"
"511","13008","Apan",11,NA,"Uno o más casos"
"512","13001","Acatlán",4,NA,"Uno o más casos"
"513","13002","Acaxochitlán",2,NA,"Uno o más casos"
"514","13003","Actopan",11,NA,"Uno o más casos"
"515","13004","Agua Blanca de Iturbide",2,NA,"Uno o más casos"
"516","13006","Alfajayucan",2,NA,"Uno o más casos"
"517","13011","Atlapexco",0,NA,"0 casos"
"518","13012","Atotonilco el Grande",5,NA,"Uno o más casos"
"519","13014","Calnali",2,NA,"Uno o más casos"
"520","13015","Cardonal",4,NA,"Uno o más casos"
"521","13016","Cuautepec de Hinojosa",6,NA,"Uno o más casos"
"522","13018","Chapulhuacán",1,NA,"Uno o más casos"
"523","13022","Epazoyucan",5,NA,"Uno o más casos"
"524","13024","Huasca de Ocampo",5,NA,"Uno o más casos"
"525","13025","Huautla",0,NA,"0 casos"
"526","13026","Huazalingo",0,NA,"0 casos"
"527","13027","Huehuetla",0,NA,"0 casos"
"528","13028","Huejutla de Reyes",10,NA,"Uno o más casos"
"529","13030","Ixmiquilpan",5,NA,"Uno o más casos"
"530","13031","Jacala de Ledezma",1,NA,"Uno o más casos"
"531","13032","Jaltocán",0,NA,"0 casos"
"532","13033","Juárez Hidalgo",0,0,"0 casos"
"533","13034","Lolotla",0,NA,"0 casos"
"534","13036","San Agustín Metzquititlán",1,NA,"Uno o más casos"
"535","13038","Mineral del Chico",3,NA,"Uno o más casos"
"536","13039","Mineral del Monte",3,NA,"Uno o más casos"
"537","13040","La Misión",0,NA,"0 casos"
"538","13042","Molango de Escamilla",0,NA,"0 casos"
"539","13043","Nicolás Flores",0,NA,"0 casos"
"540","13045","Omitlán de Juárez",0,NA,"0 casos"
"541","13046","San Felipe Orizatlán",3,NA,"Uno o más casos"
"542","13047","Pacula",0,NA,"0 casos"
"543","13049","Pisaflores",1,NA,"Uno o más casos"
"544","13051","Mineral de la Reforma",47,NA,"Uno o más casos"
"545","13053","San Bartolo Tutotepec",1,NA,"Uno o más casos"
"546","13055","Santiago de Anaya",5,NA,"Uno o más casos"
"547","13056","Santiago Tulantepec de Lugo Guerrero",5,NA,"Uno o más casos"
"548","13057","Singuilucan",4,NA,"Uno o más casos"
"549","13058","Tasquillo",0,NA,"0 casos"
"550","13060","Tenango de Doria",1,NA,"Uno o más casos"
"551","13062","Tepehuacán de Guerrero",0,NA,"0 casos"
"552","13068","Tianguistengo",0,NA,"0 casos"
"553","13071","Tlahuiltepa",0,NA,"0 casos"
"554","13073","Tlanchinol",0,NA,"0 casos"
"555","13078","Xochiatipan",3,NA,"Uno o más casos"
"556","13079","Xochicoatlán",0,NA,"0 casos"
"557","13080","Yahualica",0,NA,"0 casos"
"558","13081","Zacualtipán de Ángeles",0,NA,"0 casos"
"559","13084","Zimapán",1,NA,"Uno o más casos"
"560","13072","Tlanalapa",1,NA,"Uno o más casos"
"561","13021","Emiliano Zapata",10,NA,"Uno o más casos"
"562","13059","Tecozautla",3,NA,"Uno o más casos"
"563","13020","Eloxochitlán",0,NA,"0 casos"
"564","13037","Metztitlán",5,NA,"Uno o más casos"
"565","13029","Huichapan",1,NA,"Uno o más casos"
"566","13061","Tepeapulco",18,NA,"Uno o más casos"
"567","13083","Zempoala",9,NA,"Uno o más casos"
"568","13069","Tizayuca",71,NA,"Uno o más casos"
"569","13075","Tolcayuca",9,NA,"Uno o más casos"
"570","13052","San Agustín Tlaxiaca",12,NA,"Uno o más casos"
"571","13066","Villa de Tezontepec",2,NA,"Uno o más casos"
"572","13041","Mixquiahuala de Juárez",9,NA,"Uno o más casos"
"573","13067","Tezontepec de Aldama",28,NA,"Uno o más casos"
"574","13070","Tlahuelilpan",6,NA,"Uno o más casos"
"575","13074","Tlaxcoapan",14,NA,"Uno o más casos"
"576","13044","Nopala de Villagrán",0,NA,"0 casos"
"577","13017","Chapantongo",0,NA,"0 casos"
"578","13063","Tepeji del Río de Ocampo",16,NA,"Uno o más casos"
"579","13076","Tula de Allende",23,NA,"Uno o más casos"
"580","13010","Atitalaquia",4,NA,"Uno o más casos"
"581","13013","Atotonilco de Tula",7,NA,"Uno o más casos"
"582","13064","Tepetitlán",1,NA,"Uno o más casos"
"583","13009","El Arenal",1,NA,"Uno o más casos"
"584","13019","Chilcuautla",2,NA,"Uno o más casos"
"585","13023","Francisco I. Madero",3,NA,"Uno o más casos"
"586","13048","Pachuca de Soto",139,NA,"Uno o más casos"
"587","13050","Progreso de Obregón",4,NA,"Uno o más casos"
"588","13054","San Salvador",6,NA,"Uno o más casos"
"589","13082","Zapotlán de Juárez",10,NA,"Uno o más casos"
"590","13065","Tetepango",3,NA,"Uno o más casos"
"591","13005","Ajacuba",0,NA,"0 casos"
"592","13077","Tulancingo de Bravo",32,NA,"Uno o más casos"
"593","14001","Acatic",2,NA,"Uno o más casos"
"594","14002","Acatlán de Juárez",0,NA,"0 casos"
"595","14003","Ahualulco de Mercado",1,NA,"Uno o más casos"
"596","14004","Amacueca",0,0,"0 casos"
"597","14005","Amatitán",0,NA,"0 casos"
"598","14006","Ameca",10,NA,"Uno o más casos"
"599","14007","San Juanito de Escobedo",0,NA,"0 casos"
"600","14008","Arandas",1,NA,"Uno o más casos"
"601","14009","El Arenal",0,NA,"0 casos"
"602","14010","Atemajac de Brizuela",0,NA,"0 casos"
"603","14011","Atengo",0,NA,"0 casos"
"604","14012","Atenguillo",0,NA,"0 casos"
"605","14013","Atotonilco el Alto",0,NA,"0 casos"
"606","14014","Atoyac",0,0,"0 casos"
"607","14015","Autlán de Navarro",1,NA,"Uno o más casos"
"608","14016","Ayotlán",0,NA,"0 casos"
"609","14017","Ayutla",0,NA,"0 casos"
"610","14018","La Barca",4,NA,"Uno o más casos"
"611","14019","Bolaños",0,NA,"0 casos"
"612","14020","Cabo Corrientes",0,NA,"0 casos"
"613","14021","Casimiro Castillo",0,NA,"0 casos"
"614","14022","Cihuatlán",0,NA,"0 casos"
"615","14023","Zapotlán el Grande",2,NA,"Uno o más casos"
"616","14024","Cocula",1,NA,"Uno o más casos"
"617","14025","Colotlán",3,NA,"Uno o más casos"
"618","14026","Concepción de Buenos Aires",0,0,"0 casos"
"619","14027","Cuautitlán de García Barragán",0,NA,"0 casos"
"620","14028","Cuautla",10,NA,"Uno o más casos"
"621","14029","Cuquío",0,NA,"0 casos"
"622","14030","Chapala",0,NA,"0 casos"
"623","14031","Chimaltitán",0,NA,"0 casos"
"624","14032","Chiquilistlán",0,NA,"0 casos"
"625","14033","Degollado",3,NA,"Uno o más casos"
"626","14034","Ejutla",0,NA,"0 casos"
"627","14035","Encarnación de Díaz",0,NA,"0 casos"
"628","14036","Etzatlán",0,NA,"0 casos"
"629","14037","El Grullo",4,NA,"Uno o más casos"
"630","14038","Guachinango",0,NA,"0 casos"
"631","14039","Guadalajara",189,NA,"Uno o más casos"
"632","14040","Hostotipaquillo",0,NA,"0 casos"
"633","14041","Huejúcar",1,NA,"Uno o más casos"
"634","14042","Huejuquilla el Alto",0,0,"0 casos"
"635","14043","La Huerta",0,NA,"0 casos"
"636","14044","Ixtlahuacán de los Membrillos",0,NA,"0 casos"
"637","14045","Ixtlahuacán del Río",0,NA,"0 casos"
"638","14046","Jalostotitlán",0,NA,"0 casos"
"639","14047","Jamay",5,NA,"Uno o más casos"
"640","14048","Jesús María",1,NA,"Uno o más casos"
"641","14049","Jilotlán de los Dolores",0,NA,"0 casos"
"642","14050","Jocotepec",0,NA,"0 casos"
"643","14051","Juanacatlán",4,NA,"Uno o más casos"
"644","14052","Juchitlán",0,NA,"0 casos"
"645","14053","Lagos de Moreno",2,NA,"Uno o más casos"
"646","14054","El Limón",0,NA,"0 casos"
"647","14055","Magdalena",0,NA,"0 casos"
"648","14056","Santa María del Oro",0,NA,"0 casos"
"649","14057","La Manzanilla de la Paz",0,NA,"0 casos"
"650","14058","Mascota",0,NA,"0 casos"
"651","14059","Mazamitla",0,0,"0 casos"
"652","14060","Mexticacán",0,NA,"0 casos"
"653","14061","Mezquitic",0,NA,"0 casos"
"654","14062","Mixtlán",0,NA,"0 casos"
"655","14063","Ocotlán",30,NA,"Uno o más casos"
"656","14064","Ojuelos de Jalisco",0,NA,"0 casos"
"657","14065","Pihuamo",0,NA,"0 casos"
"658","14066","Poncitlán",5,NA,"Uno o más casos"
"659","14067","Puerto Vallarta",114,NA,"Uno o más casos"
"660","14068","Villa Purificación",0,NA,"0 casos"
"661","14069","Quitupan",0,NA,"0 casos"
"662","14070","El Salto",11,NA,"Uno o más casos"
"663","14071","San Cristóbal de la Barranca",0,NA,"0 casos"
"664","14072","San Diego de Alejandría",0,NA,"0 casos"
"665","14073","San Juan de los Lagos",18,NA,"Uno o más casos"
"666","14074","San Julián",2,NA,"Uno o más casos"
"667","14075","San Marcos",0,NA,"0 casos"
"668","14076","San Martín de Bolaños",0,NA,"0 casos"
"669","14077","San Martín Hidalgo",1,NA,"Uno o más casos"
"670","14078","San Miguel el Alto",0,NA,"0 casos"
"671","14079","Gómez Farías",0,NA,"0 casos"
"672","14080","San Sebastián del Oeste",0,NA,"0 casos"
"673","14081","Santa María de los Ángeles",0,NA,"0 casos"
"674","14082","Sayula",0,NA,"0 casos"
"675","14083","Tala",0,NA,"0 casos"
"676","14084","Talpa de Allende",2,NA,"Uno o más casos"
"677","14085","Tamazula de Gordiano",0,NA,"0 casos"
"678","14086","Tapalpa",0,0,"0 casos"
"679","14087","Tecalitlán",0,NA,"0 casos"
"680","14088","Tecolotlán",2,NA,"Uno o más casos"
"681","14089","Techaluta de Montenegro",0,0,"0 casos"
"682","14090","Tenamaxtlán",0,NA,"0 casos"
"683","14091","Teocaltiche",0,NA,"0 casos"
"684","14092","Teocuitatlán de Corona",0,0,"0 casos"
"685","14093","Tepatitlán de Morelos",2,NA,"Uno o más casos"
"686","14094","Tequila",5,NA,"Uno o más casos"
"687","14095","Teuchitlán",0,NA,"0 casos"
"688","14096","Tizapán el Alto",5,NA,"Uno o más casos"
"689","14097","Tlajomulco de Zúñiga",24,NA,"Uno o más casos"
"690","14098","San Pedro Tlaquepaque",30,NA,"Uno o más casos"
"691","14099","Tolimán",0,NA,"0 casos"
"692","14100","Tomatlán",6,NA,"Uno o más casos"
"693","14101","Tonalá",57,NA,"Uno o más casos"
"694","14102","Tonaya",0,0,"0 casos"
"695","14103","Tonila",1,NA,"Uno o más casos"
"696","14104","Totatiche",0,NA,"0 casos"
"697","14105","Tototlán",0,NA,"0 casos"
"698","14106","Tuxcacuesco",0,NA,"0 casos"
"699","14107","Tuxcueca",0,NA,"0 casos"
"700","14108","Tuxpan",1,NA,"Uno o más casos"
"701","14109","Unión de San Antonio",0,NA,"0 casos"
"702","14110","Unión de Tula",0,NA,"0 casos"
"703","14111","Valle de Guadalupe",0,NA,"0 casos"
"704","14112","Valle de Juárez",0,0,"0 casos"
"705","14113","San Gabriel",0,NA,"0 casos"
"706","14114","Villa Corona",0,NA,"0 casos"
"707","14115","Villa Guerrero",0,0,"0 casos"
"708","14116","Villa Hidalgo",0,NA,"0 casos"
"709","14117","Cañadas de Obregón",0,NA,"0 casos"
"710","14118","Yahualica de González Gallo",1,NA,"Uno o más casos"
"711","14119","Zacoalco de Torres",0,0,"0 casos"
"712","14120","Zapopan",100,NA,"Uno o más casos"
"713","14121","Zapotiltic",0,NA,"0 casos"
"714","14122","Zapotitlán de Vadillo",0,NA,"0 casos"
"715","14123","Zapotlán del Rey",1,NA,"Uno o más casos"
"716","14124","Zapotlanejo",8,NA,"Uno o más casos"
"717","14125","San Ignacio Cerro Gordo",0,NA,"0 casos"
"718","15002","Acolman",36,NA,"Uno o más casos"
"719","15009","Amecameca",23,NA,"Uno o más casos"
"720","15010","Apaxco",3,NA,"Uno o más casos"
"721","15011","Atenco",10,NA,"Uno o más casos"
"722","15013","Atizapán de Zaragoza",223,NA,"Uno o más casos"
"723","15015","Atlautla",4,NA,"Uno o más casos"
"724","15016","Axapusco",3,NA,"Uno o más casos"
"725","15017","Ayapango",2,NA,"Uno o más casos"
"726","15020","Coacalco de Berriozábal",107,NA,"Uno o más casos"
"727","15022","Cocotitlán",7,NA,"Uno o más casos"
"728","15023","Coyotepec",12,NA,"Uno o más casos"
"729","15024","Cuautitlán",116,NA,"Uno o más casos"
"730","15025","Chalco",280,NA,"Uno o más casos"
"731","15028","Chiautla",3,NA,"Uno o más casos"
"732","15029","Chicoloapan",61,NA,"Uno o más casos"
"733","15030","Chiconcuac",4,NA,"Uno o más casos"
"734","15031","Chimalhuacán",335,NA,"Uno o más casos"
"735","15033","Ecatepec de Morelos",845,NA,"Uno o más casos"
"736","15034","Ecatzingo",4,NA,"Uno o más casos"
"737","15035","Huehuetoca",24,NA,"Uno o más casos"
"738","15036","Hueypoxtla",5,NA,"Uno o más casos"
"739","15037","Huixquilucan",135,NA,"Uno o más casos"
"740","15039","Ixtapaluca",235,NA,"Uno o más casos"
"741","15044","Jaltenco",2,NA,"Uno o más casos"
"742","15050","Juchitepec",2,NA,"Uno o más casos"
"743","15053","Melchor Ocampo",14,NA,"Uno o más casos"
"744","15057","Naucalpan de Juárez",525,NA,"Uno o más casos"
"745","15058","Nezahualcóyotl",885,NA,"Uno o más casos"
"746","15059","Nextlalpan",4,NA,"Uno o más casos"
"747","15061","Nopaltepec",1,NA,"Uno o más casos"
"748","15065","Otumba",13,NA,"Uno o más casos"
"749","15068","Ozumba",10,NA,"Uno o más casos"
"750","15069","Papalotla",1,NA,"Uno o más casos"
"751","15070","La Paz",134,NA,"Uno o más casos"
"752","15075","San Martín de las Pirámides",3,NA,"Uno o más casos"
"753","15081","Tecámac",203,NA,"Uno o más casos"
"754","15083","Temamatla",8,NA,"Uno o más casos"
"755","15084","Temascalapa",5,NA,"Uno o más casos"
"756","15089","Tenango del Aire",1,NA,"Uno o más casos"
"757","15091","Teoloyucan",16,NA,"Uno o más casos"
"758","15092","Teotihuacán",8,NA,"Uno o más casos"
"759","15093","Tepetlaoxtoc",6,NA,"Uno o más casos"
"760","15094","Tepetlixpa",12,NA,"Uno o más casos"
"761","15096","Tequixquiac",2,NA,"Uno o más casos"
"762","15099","Texcoco",98,NA,"Uno o más casos"
"763","15100","Tezoyuca",15,NA,"Uno o más casos"
"764","15103","Tlalmanalco",26,NA,"Uno o más casos"
"765","15104","Tlalnepantla de Baz",397,NA,"Uno o más casos"
"766","15108","Tultepec",52,NA,"Uno o más casos"
"767","15120","Zumpango",58,NA,"Uno o más casos"
"768","15121","Cuautitlán Izcalli",197,NA,"Uno o más casos"
"769","15122","Valle de Chalco Solidaridad",163,NA,"Uno o más casos"
"770","15125","Tonanitla",4,NA,"Uno o más casos"
"771","15109","Tultitlán",220,NA,"Uno o más casos"
"772","16108","Zamora",12,NA,"Uno o más casos"
"773","16085","Tangancícuaro",0,NA,"0 casos"
"774","16052","Lázaro Cárdenas",283,NA,"Uno o más casos"
"775","16008","Aquila",0,NA,"0 casos"
"776","16010","Arteaga",4,NA,"Uno o más casos"
"777","16096","Tumbiscatío",0,NA,"0 casos"
"778","16077","San Lucas",2,NA,"Uno o más casos"
"779","16014","Coahuayana",1,NA,"Uno o más casos"
"780","16038","Huetamo",4,NA,"Uno o más casos"
"781","16029","Churumuco",0,NA,"0 casos"
"782","16026","Chinicuila",0,NA,"0 casos"
"783","16015","Coalcomán de Vázquez Pallares",0,NA,"0 casos"
"784","16002","Aguililla",0,NA,"0 casos"
"785","16035","La Huacana",2,NA,"Uno o más casos"
"786","16055","Múgica",2,NA,"Uno o más casos"
"787","16097","Turicato",0,NA,"0 casos"
"788","16013","Carácuaro",0,NA,"0 casos"
"789","16089","Tepalcatepec",0,NA,"0 casos"
"790","16006","Apatzingán",24,NA,"Uno o más casos"
"791","16064","Parácuaro",0,NA,"0 casos"
"792","16057","Nocupétaro",1,NA,"Uno o más casos"
"793","16059","Nuevo Urecho",1,NA,"Uno o más casos"
"794","16033","Gabriel Zamora",0,NA,"0 casos"
"795","16009","Ario",1,NA,"Uno o más casos"
"796","16081","Susupuato",6,NA,"Uno o más casos"
"797","16092","Tiquicheo de Nicolás Romero",0,NA,"0 casos"
"798","16046","Juárez",5,NA,"Uno o más casos"
"799","16087","Taretan",0,NA,"0 casos"
"800","16012","Buenavista",1,NA,"Uno o más casos"
"801","16082","Tacámbaro",1,NA,"Uno o más casos"
"802","16099","Tuzantla",4,NA,"Uno o más casos"
"803","16079","Salvador Escalante",2,NA,"Uno o más casos"
"804","16111","Ziracuaretiro",0,NA,"0 casos"
"805","16058","Nuevo Parangaricutiro",0,NA,"0 casos"
"806","16083","Tancítaro",1,NA,"Uno o más casos"
"807","16047","Jungapeo",2,NA,"Uno o más casos"
"808","16049","Madero",1,NA,"Uno o más casos"
"809","16001","Acuitzio",0,NA,"0 casos"
"810","16112","Zitácuaro",17,NA,"Uno o más casos"
"811","16039","Huiramba",1,NA,"Uno o más casos"
"812","16066","Pátzcuaro",13,NA,"Uno o más casos"
"813","16068","Peribán",0,NA,"0 casos"
"814","16090","Tingambato",0,NA,"0 casos"
"815","16102","Uruapan",24,NA,"Uno o más casos"
"816","16048","Lagunillas",0,NA,"0 casos"
"817","16061","Ocampo",1,NA,"Uno o más casos"
"818","16098","Tuxpan",4,NA,"Uno o más casos"
"819","16100","Tzintzuntzan",8,NA,"Uno o más casos"
"820","16101","Tzitzio",0,NA,"0 casos"
"821","16005","Angangueo",0,NA,"0 casos"
"822","16007","Aporo",0,NA,"0 casos"
"823","16032","Erongarícuaro",1,NA,"Uno o más casos"
"824","16065","Paracho",1,NA,"Uno o más casos"
"825","16056","Nahuatzen",0,NA,"0 casos"
"826","16073","Quiroga",0,NA,"0 casos"
"827","16041","Irimbo",3,NA,"Uno o más casos"
"828","16022","Charo",0,NA,"0 casos"
"829","16024","Cherán",0,NA,"0 casos"
"830","16075","Los Reyes",0,NA,"0 casos"
"831","16021","Charapan",0,NA,"0 casos"
"832","16080","Senguio",0,NA,"0 casos"
"833","16072","Queréndaro",0,NA,"0 casos"
"834","16095","Tocumbo",0,NA,"0 casos"
"835","16053","Morelia",68,NA,"Uno o más casos"
"836","16093","Tlalpujahua",6,NA,"Uno o más casos"
"837","16034","Hidalgo",4,NA,"Uno o más casos"
"838","16040","Indaparapeo",0,NA,"0 casos"
"839","16088","Tarímbaro",2,NA,"Uno o más casos"
"840","16091","Tingüindín",0,NA,"0 casos"
"841","16019","Cotija",1,NA,"Uno o más casos"
"842","16025","Chilchota",1,NA,"Uno o más casos"
"843","16016","Coeneo",0,NA,"0 casos"
"844","16110","Zinapécuaro",14,NA,"Uno o más casos"
"845","16037","Huaniqueo",0,NA,"0 casos"
"846","16003","Álvaro Obregón",4,NA,"Uno o más casos"
"847","16027","Chucándiro",0,NA,"0 casos"
"848","16018","Copándaro",4,NA,"Uno o más casos"
"849","16044","Jiménez",0,NA,"0 casos"
"850","16070","Purépero",0,NA,"0 casos"
"851","16107","Zacapu",0,NA,"0 casos"
"852","16084","Tangamandapio",1,NA,"Uno o más casos"
"853","16043","Jacona",2,NA,"Uno o más casos"
"854","16050","Maravatío",11,NA,"Uno o más casos"
"855","16036","Huandacareo",5,NA,"Uno o más casos"
"856","16054","Morelos",0,NA,"0 casos"
"857","16020","Cuitzeo",1,NA,"Uno o más casos"
"858","16078","Santa Ana Maya",10,NA,"Uno o más casos"
"859","16017","Contepec",0,NA,"0 casos"
"860","16045","Jiquilpan",1,NA,"Uno o más casos"
"861","16094","Tlazazalca",0,NA,"0 casos"
"862","16104","Villamar",0,NA,"0 casos"
"863","16051","Marcos Castellanos",0,NA,"0 casos"
"864","16076","Sahuayo",3,NA,"Uno o más casos"
"865","16063","Panindícuaro",2,NA,"Uno o más casos"
"866","16023","Chavinda",3,NA,"Uno o más casos"
"867","16074","Cojumatlán de Régules",0,NA,"0 casos"
"868","16067","Penjamillo",0,NA,"0 casos"
"869","16004","Angamacutiro",0,NA,"0 casos"
"870","16042","Ixtlán",2,NA,"Uno o más casos"
"871","16028","Churintzio",1,NA,"Uno o más casos"
"872","16103","Venustiano Carranza",6,NA,"Uno o más casos"
"873","16062","Pajacuarán",0,NA,"0 casos"
"874","16031","Epitacio Huerta",0,NA,"0 casos"
"875","16109","Zináparo",3,NA,"Uno o más casos"
"876","16030","Ecuandureo",0,NA,"0 casos"
"877","16071","Puruándiro",1,NA,"Uno o más casos"
"878","16011","Briseñas",0,NA,"0 casos"
"879","16060","Numarán",1,NA,"Uno o más casos"
"880","16105","Vista Hermosa",0,NA,"0 casos"
"881","16113","José Sixto Verduzco",2,NA,"Uno o más casos"
"882","16086","Tanhuato",1,NA,"Uno o más casos"
"883","16106","Yurécuaro",5,NA,"Uno o más casos"
"884","16069","La Piedad",12,NA,"Uno o más casos"
"885","17001","Amacuzac",2,NA,"Uno o más casos"
"886","17002","Atlatlahucan",6,NA,"Uno o más casos"
"887","17003","Axochiapan",2,NA,"Uno o más casos"
"888","17004","Ayala",17,NA,"Uno o más casos"
"889","17005","Coatlán del Río",4,NA,"Uno o más casos"
"890","17006","Cuautla",96,NA,"Uno o más casos"
"891","17007","Cuernavaca",315,NA,"Uno o más casos"
"892","17008","Emiliano Zapata",28,NA,"Uno o más casos"
"893","17009","Huitzilac",7,NA,"Uno o más casos"
"894","17010","Jantetelco",3,NA,"Uno o más casos"
"895","17011","Jiutepec",69,NA,"Uno o más casos"
"896","17012","Jojutla",53,NA,"Uno o más casos"
"897","17013","Jonacatepec",2,NA,"Uno o más casos"
"898","17014","Mazatepec",3,NA,"Uno o más casos"
"899","17015","Miacatlán",10,NA,"Uno o más casos"
"900","17016","Ocuituco",10,NA,"Uno o más casos"
"901","17017","Puente de Ixtla",39,NA,"Uno o más casos"
"902","17018","Temixco",41,NA,"Uno o más casos"
"903","17019","Tepalcingo",19,NA,"Uno o más casos"
"904","17020","Tepoztlán",7,NA,"Uno o más casos"
"905","17021","Tetecala",3,NA,"Uno o más casos"
"906","17022","Tetela del Volcán",6,NA,"Uno o más casos"
"907","17023","Tlalnepantla",1,NA,"Uno o más casos"
"908","17024","Tlaltizapán de Zapata",19,NA,"Uno o más casos"
"909","17025","Tlaquiltenango",13,NA,"Uno o más casos"
"910","17026","Tlayacapan",7,NA,"Uno o más casos"
"911","17027","Totolapan",3,NA,"Uno o más casos"
"912","17028","Xochitepec",33,NA,"Uno o más casos"
"913","17029","Yautepec",20,NA,"Uno o más casos"
"914","17030","Yecapixtla",14,NA,"Uno o más casos"
"915","17031","Zacatepec",19,NA,"Uno o más casos"
"916","17032","Zacualpan",0,NA,"0 casos"
"917","17033","Temoac",1,NA,"Uno o más casos"
"918","18001","Acaponeta",3,NA,"Uno o más casos"
"919","18002","Ahuacatlán",0,NA,"0 casos"
"920","18003","Amatlán de Cañas",0,NA,"0 casos"
"921","18005","Huajicori",0,NA,"0 casos"
"922","18006","Ixtlán del Río",2,NA,"Uno o más casos"
"923","18007","Jala",8,NA,"Uno o más casos"
"924","18008","Xalisco",9,NA,"Uno o más casos"
"925","18009","Del Nayar",0,NA,"0 casos"
"926","18011","Ruíz",1,NA,"Uno o más casos"
"927","18013","San Pedro Lagunillas",0,NA,"0 casos"
"928","18014","Santa María del Oro",0,NA,"0 casos"
"929","18016","Tecuala",3,NA,"Uno o más casos"
"930","18017","Tepic",162,NA,"Uno o más casos"
"931","18018","Tuxpan",10,NA,"Uno o más casos"
"932","18019","La Yesca",1,NA,"Uno o más casos"
"933","18020","Bahía de Banderas",21,NA,"Uno o más casos"
"934","18004","Compostela",5,NA,"Uno o más casos"
"935","18015","Santiago Ixcuintla",18,NA,"Uno o más casos"
"936","18012","San Blas",1,NA,"Uno o más casos"
"937","18010","Rosamorada",3,NA,"Uno o más casos"
"938","19002","Agualeguas",0,NA,"0 casos"
"939","19023","General Treviño",0,0,"0 casos"
"940","19003","Los Aldamas",0,NA,"0 casos"
"941","19015","Doctor Coss",0,NA,"0 casos"
"942","19020","General Bravo",1,NA,"Uno o más casos"
"943","19040","Parás",0,0,"0 casos"
"944","19013","China",2,NA,"Uno o más casos"
"945","19022","General Terán",1,NA,"Uno o más casos"
"946","19033","Linares",6,NA,"Uno o más casos"
"947","19050","Vallecillo",0,NA,"0 casos"
"948","19005","Anáhuac",2,NA,"Uno o más casos"
"949","19032","Lampazos de Naranjo",0,NA,"0 casos"
"950","19008","Bustamante",0,0,"0 casos"
"951","19037","Mina",0,NA,"0 casos"
"952","19048","Santa Catarina",25,NA,"Uno o más casos"
"953","19049","Santiago",1,NA,"Uno o más casos"
"954","19051","Villaldama",0,NA,"0 casos"
"955","19047","Hidalgo",0,NA,"0 casos"
"956","19046","San Nicolás de los Garza",40,NA,"Uno o más casos"
"957","19045","Salinas Victoria",5,NA,"Uno o más casos"
"958","19044","Sabinas Hidalgo",1,NA,"Uno o más casos"
"959","19043","Rayones",0,NA,"0 casos"
"960","19042","Los Ramones",0,NA,"0 casos"
"961","19041","Pesquería",14,NA,"Uno o más casos"
"962","19038","Montemorelos",3,NA,"Uno o más casos"
"963","19036","Mier y Noriega",0,0,"0 casos"
"964","19035","Melchor Ocampo",0,0,"0 casos"
"965","19034","Marín",0,NA,"0 casos"
"966","19031","Juárez",51,NA,"Uno o más casos"
"967","19030","Iturbide",0,NA,"0 casos"
"968","19029","Hualahuises",0,NA,"0 casos"
"969","19028","Higueras",1,NA,"Uno o más casos"
"970","19027","Los Herreras",0,NA,"0 casos"
"971","19026","Guadalupe",140,NA,"Uno o más casos"
"972","19025","General Zuazua",2,NA,"Uno o más casos"
"973","19024","General Zaragoza",0,NA,"0 casos"
"974","19021","General Escobedo",53,NA,"Uno o más casos"
"975","19019","San Pedro Garza García",46,NA,"Uno o más casos"
"976","19017","Galeana",0,NA,"0 casos"
"977","19016","Doctor González",0,NA,"0 casos"
"978","19014","Doctor Arroyo",0,NA,"0 casos"
"979","19012","Ciénega de Flores",2,NA,"Uno o más casos"
"980","19011","Cerralvo",0,NA,"0 casos"
"981","19010","El Carmen",7,NA,"Uno o más casos"
"982","19009","Cadereyta Jiménez",5,NA,"Uno o más casos"
"983","19007","Aramberri",0,0,"0 casos"
"984","19006","Apodaca",93,NA,"Uno o más casos"
"985","19004","Allende",5,NA,"Uno o más casos"
"986","19001","Abasolo",0,NA,"0 casos"
"987","19018","García",25,NA,"Uno o más casos"
"988","19039","Monterrey",156,NA,"Uno o más casos"
"989","20542","Taniche",0,0,"0 casos"
"990","20128","San Cristóbal Lachirioag",0,0,"0 casos"
"991","20156","San Ildefonso Villa Alta",0,0,"0 casos"
"992","20140","San Francisco Chindúa",0,0,"0 casos"
"993","20518","Santo Domingo Tlatayápam",0,0,"0 casos"
"994","20455","Santiago Ayuquililla",0,NA,"0 casos"
"995","20165","San José Ayuquila",0,NA,"0 casos"
"996","20138","San Francisco Cajonos",0,0,"0 casos"
"997","20303","San Pedro Cajonos",0,0,"0 casos"
"998","20148","San Francisco Ozolotepec",0,0,"0 casos"
"999","20337","San Pedro y San Pablo Ayutla",0,NA,"0 casos"
"1000","20031","Tamazulápam del Espíritu Santo",1,NA,"Uno o más casos"
"1001","20206","San Juan de los Cués",0,NA,"0 casos"
"1002","20202","San Juan Lachao",0,NA,"0 casos"
"1003","20199","San Juan Ihualtepec",0,0,"0 casos"
"1004","20195","San Juan Diuxi",0,NA,"0 casos"
"1005","20188","San Juan Colorado",2,NA,"Uno o más casos"
"1006","20186","San Juan Cieneguilla",0,NA,"0 casos"
"1007","20185","San Juan Cacahuatepec",0,0,"0 casos"
"1008","20181","San Juan Bautista Suchitepec",0,NA,"0 casos"
